39.819,-84.281
41.6912,-83.6446
39.2439,-84.5953
40.3021,-79.5215
39.2463,-94.6009
38.8192,-90.2493
40.0831,-75.3894
39.9607,-82.9944
32.9311,-96.8056
38.9517,-94.6673
38.034,-78.486
37.3262,-122.014
41.7166,-87.682
43.0564,-89.5033
39.3404,-76.4868
42.1522,-87.8125
39.5809,-104.955
45.1297,-93.2631
39.0433,-77.1089
42.2255,-83.2685
40.7273,-73.6354
40.6588,-80.3252
38.2488,-85.6082
42.4627,-71.0261
39.9146,-75.4292
41.592,-81.5098
37.966,-122.056
38.8683,-77.1472
41.4151,-81.9093
41.8753,-71.0437
26.2132,-81.8007
41.8778,-87.6245
41.2109,-80.7528
37.8955,-122.058
40.0763,-83.1292
39.7655,-86.159
40.8936,-74.5094
41.3803,-73.4754
32.3033,-90.253
